IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP487;CR_PRICE_1_USD
Растворитель (0.5 л.) Hammerite;Растворитель (0.5 л.) Hammerite;"Растворитель Hammerite — это незаменимый продукт при проведении любых покрасочных работ. Его можно использовать для подготовки и обезжиривания поверхности перед окрашиванием, разбавления красок и эмалей, очистки малярного инструмента и удаления пятен от жира и краски с одежды, рук и т.д.
<p>
Преимущества:
<ul>
<li>привлекательная цена;
<li>превосходное качество;
<li>экономичная фасовка.
<li>деароматизирован;
<li>обладает отличными чистящими свойствами;
<li>идеально удаляет «жирные» загрязнения;
<li>разбавляет краску Hammerite без снижения ее качества.
</ul>";;26.32
Краска млт. черная (0.75 л.) Hammerite;Краска млт. черная (0.75 л.) Hammerite;"Краска молотковая Hammerite – лакокрасочный материал для создания атмосферостойкого, грязе- и водоотталкивающего покрытия. Применяется для обработки пораженных ржавчиной или чистых металлических поверхностей. Купить и использовать молотковую краску данной марки можно для внутренних и наружных работ.

Преимущества:<ul>

<li>выполняет функции грунта, защиты от коррозии и финишного покрытия чешуйчатой структуры;
<li>активные антикоррозийные добавки в составе;
<li>долговечность – покрытие остается качественным до 8 лет;
<li>доступная цена.
</ul>";;57.4
Лист 90*30 мм., ≠1.5 мм., штамп.;Лист 90*30 мм., ≠1.5 мм., штамп.;;;0.68
Лист 90*30 мм., ≠1.5 мм., штамп.;Лист 90*30 мм., ≠1.5 мм., штамп.;;;0.68
Эмаль золото (0.5 кг.), термостойкая 150°, Церта-Патина;Эмаль золото (0.5 кг.), термостойкая 150°, Церта-Патина;;;34.67
Полусфера Ø70 мм., ≠1.5 мм.;Полусфера Ø70 мм., ≠1.5 мм.;;;1.39
Полусфера Ø60 мм., ≠1.2 мм.;Полусфера Ø60 мм., ≠1.2 мм.;;;1.05
Окончание к поручню 1373/4, 150*125 мм.;Окончание к поручню 1373/4, 150*125 мм.;;;23.37
Подпятник Ø97 мм., отв. Ø42 мм., ≠1,2 мм., штамп.;Подпятник Ø97 мм., отв. Ø42 мм., ≠1,2 мм., штамп.;;;1.05
Кольцо декор. Ø120 мм., □15 мм.;Кольцо декор. Ø120 мм., □15 мм.;;;1.98
Кольцо декор. Ø130 мм., □15 мм.;Кольцо декор. Ø130 мм., □15 мм.;;;2.14
Кольцо «Витое» Ø135 мм.;Кольцо «Витое» Ø135 мм.;;;2.94
Балясина 860*255 мм., труба 15*15 мм.;Балясина 860*255 мм., труба 15*15 мм.;;;19.41
Крючок 110*50*45 мм., «Кабан»;Крючок 110*50*45 мм., «Кабан»;;;20.74
Скребок для обуви 180 мм., 350*145 мм., «Скотч-терьер»;Скребок для обуви 180 мм., 350*145 мм., «Скотч-терьер»;;;180.34
Заглушка 25 мм., осн. □40*80 мм., ПНД;Заглушка 25 мм., осн. □40*80 мм., ПНД;;;0.68
Эмаль по рж. антикоррозийная, млт. темно-медная (0.8 кг.) КВИЛ;Эмаль по рж. антикоррозийная, млт. темно-медная (0.8 кг.) КВИЛ;"Изготовлена на основе модифицированного алкидного лака, светостой-
ких пигментов с добавлением сиккатива, органических растворителей и
функциональных добавок.
<p>НАЗНАЧЕНИЕ. Для одновременного преобразования ржавчины, антикоррозионного
грунтования и финишной окраски чистых и прокорродировавших ме-
таллических поверхностей с толщиной прочно связанной с металлом
ржавчины до 100 мкм, требующих хороших декоративных свойств и дли-
тельного срока службы в атмосферных условиях и внутри помещений.
<p>ОБЪЕКТЫ ПРИМЕНЕНИЯ. Промышленное оборудование, двери, ворота, ограждения, корпуса видео-
и аудиоаппаратуры (кинопроекторы, телескопы), банковская техника,
изделия художественной ковки, металлическая мебель (стеллажи, шка-
фы, сейфы и др.).
<p>СВОЙСТВА. Быстро высыхает. Образует рисунчатое (молотковое) покрытие, маски-
рующее мелкие дефекты поверхности. Своеобразный фактурный рису-
нок подчеркивает красоту изделий ручной работы. Покрытие обладает
высокой атмосферостойкостью, повышенной влаго- и противокоррози-
онной стойкостью. Применение эмали значительно упрощает подготовку
поверхности перед окрашиванием и удешевляет технологию создания
антикоррозионного покрытия, т.к. не требует пр";;21.18
